Perioden,Mannen en vrouwen,Mannen,Vrouwen
1900,5104,2521,2583
1901,5163,2550,2613
1902,5233,2584,2649
1903,5307,2622,2685
1904,5384,2660,2724
1905,5460,2699,2762
1906,5537,2737,2800
1907,5616,2777,2840
1908,5696,2817,2879
1909,5772,2855,2916
1910,5858,2899,2959
1911,5951,2945,3005
1912,6033,2987,3047
1913,6133,3037,3095
1914,6235,3088,3146
1915,6340,3141,3199
1916,6433,3188,3245
1917,6527,3236,3291
1918,6618,3282,3336
1919,6675,3311,3364
1920,6754,3352,3402
1921,6865,3410,3455
1922,6978,3465,3513
1923,7081,3516,3565
1924,7196,3574,3623
1925,7308,3629,3679
1926,7416,3683,3733
1927,7522,3735,3786
1928,7621,3785,3836
1929,7728,3838,3890
1930,7825,3886,3939
1931,7936,3943,3993
1932,8062,4006,4055
1933,8183,4068,4116
1934,8290,4124,4167
1935,8392,4177,4215
1936,8475,4221,4254
1937,8557,4264,4293
1938,8640,4307,4332
1939,8729,4353,4376
1940,8834,4408,4426
1941,8923,4454,4469
1942,9008,4497,4511
1943,9076,4530,4546
1944,9129,4558,4571
1945,9220,4603,4617
1946,9304,4634,4670
1947,9543,4748,4794
1948,9716,4838,4878
1949,9884,4926,4959
1950,10027,4998,5029
1951,10200,5084,5117
1952,10328,5146,5183
1953,10436,5198,5238
1954,10551,5256,5295
1955,10680,5321,5359
1956,10822,5391,5431
1957,10957,5460,5497
1958,11096,5529,5567
1959,11278,5619,5659
1960,11417,5686,5731
1961,11556,5754,5802
1962,11721,5838,5883
1963,11890,5924,5966
1964,12042,6001,6041
1965,12212,6091,6122
1966,12377,6178,6199
1967,12535,6262,6273
1968,12661,6317,6344
1969,12798,6383,6415
1970,12958,6465,6493
1971,13119,6550,6570
1972,13270,6624,6645
1973,13388,6676,6712
1974,13491,6722,6769
1975,13599,6772,6827
1976,13734,6837,6897
1977,13814,6872,6943
1978,13898,6907,6991
1979,13986,6945,7040
1980,14091,6994,7097
1981,14209,7048,7160
1982,14286,7082,7204
1983,14340,7103,7237
1984,14395,7124,7270
1985,14454,7150,7304
1986,14529,7185,7345
1987,14615,7224,7391
1988,14715,7274,7441
1989,14805,7317,7489
1990,14893,7358,7534
1991,15010,7420,7591
1992,15129,7480,7649
1993,15239,7535,7704
1994,15342,7586,7756
1995,15424,7627,7797
1996,15494,7662,7832
1997,15567,7697,7870
1998,15654,7740,7914
1999,15760,7793,7967
2000,15864,7846,8018
2001,15987,7910,8077
2002,16105,7972,8133
2003,16193,8015,8177
2004,16258,8046,8212
2005,16306,8066,8240
2006,16334,8077,8257
2007,16358,8089,8269
2008,16405,8112,8293
2009,16486,8156,8329
2010,16575,8203,8372
2011,16656,8243,8412
2012,16730,8283,8448
2013,16780,8307,8472
2014,16829,8334,8495
